episode_id,status,peak_index,trough_index,end_index,recovery_index,peak_time,trough_time,recovery_time,end_time,peak_value,trough_value,recovery_value,end_value,depth_money,depth_percent,duration_days,duration_periods,depth_percentile,depth_tail_rarity_percent,depth_ordinal_rank,duration_percentile,duration_tail_rarity_percent,duration_ordinal_rank
1,completed,1,10,12,12,2021-01-04T11:00:00,2021-07-04T23:07:00,2021-08-16T16:33:00,2021-08-16T16:33:00,100022.43,99756.73000000001,100041.8,100041.8,265.69999999998254,0.2656404168544821,224.23125,11,85.71428571428571,14.285714285714285,6.0,85.71428571428571,14.285714285714285,6.0
2,completed,12,13,14,14,2021-08-16T16:33:00,2021-09-02T03:46:00,2021-09-23T21:04:00,2021-09-23T21:04:00,100041.8,100022.88,100268.70000000001,100268.70000000001,18.919999999998254,0.018912094744395095,38.18819444444444,2,14.285714285714285,85.71428571428571,1.0,14.285714285714285,85.71428571428571,1.0
3,completed,14,20,21,21,2021-09-23T21:04:00,2022-01-23T10:27:00,2022-02-08T21:40:00,2022-02-08T21:40:00,100268.70000000001,100081.09000000001,100288.18000000001,100288.18000000001,187.61000000000058,0.18710724283849353,138.025,7,71.42857142857143,28.57142857142857,5.0,71.42857142857143,28.57142857142857,5.0
4,completed,22,29,45,45,2022-03-02T15:53:00,2022-07-19T22:34:00,2023-06-04T10:22:00,2023-06-04T10:22:00,100417.89000000001,100066.20000000001,100521.93999999999,100521.93999999999,351.6900000000023,0.35022643873517184,458.7701388888889,23,100.0,0.0,7.0,100.0,0.0,7.0
5,completed,49,50,51,51,2023-08-23T01:19:00,2023-09-13T00:32:00,2023-10-04T18:45:00,2023-10-04T18:45:00,100707.68999999999,100681.98999999999,100853.01,100853.01,25.69999999999709,0.025519401745782364,42.72638888888889,2,28.57142857142857,71.42857142857143,2.0,57.14285714285714,42.857142857142854,4.0
6,completed,52,53,54,54,2023-10-25T05:03:00,2023-11-11T04:16:00,2023-12-02T22:29:00,2023-12-02T22:29:00,100928.95999999999,100897.49999999999,101051.37999999999,101051.37999999999,31.460000000006403,0.031170439089044814,38.72638888888889,2,42.857142857142854,57.14285714285714,3.0,42.857142857142854,57.14285714285714,3.0
7,completed,55,56,57,57,2023-12-23T09:42:00,2024-01-13T08:00:00,2024-01-31T02:13:00,2024-01-31T02:13:00,101142.04,101051.32999999999,101292.10999999999,101292.10999999999,90.7100000000064,0.0896857528284049,38.68819444444444,2,57.14285714285714,42.857142857142854,4.0,28.57142857142857,71.42857142857143,2.0
8,open,59,60,60,,2024-03-12T12:39:00,2024-04-03T06:52:00,,2024-04-03T06:52:00,101445.39,101358.41,,101358.41,86.97999999999593,0.08574071231821961,21.759027777777778,1,50.0,57.14285714285714,3.5,7.142857142857142,100.0,0.5
