axis,unit,count,minimum,p50,p90,p95,p99,maximum
depth_percent,percent,7,0.018912094744395095,0.0896857528284049,0.29947482560675803,0.32485063217096494,0.3451512774223305,0.35022643873517184
depth_money,money,7,18.919999999998254,90.7100000000064,300.09599999999045,325.8929999999964,346.5306000000012,351.6900000000023
duration_days,days,7,38.18819444444444,42.72638888888889,318.04680555555564,388.40847222222226,444.69780555555565,458.7701388888889
duration_periods,periods,7,2.0,2.0,15.800000000000004,19.400000000000002,22.280000000000005,23.0
