year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD
2021,-0.10466000000000086,-0.09157584327756929,0.20747694528047145,-0.12801600785034006,0.048056273896723845,-0.09962884353087453,0.15193625568883373,0.05878998253903145,0.22680519542832567,-0.028553277343779104,-0.03381881117999752,-0.03478827700928999,0.1713100000000134
2022,-0.09006570843488326,0.2069222067825116,0.07016779046145061,-0.0021223901700451187,-0.16916705478334793,-0.09798710706465652,-0.022260304082943883,0.05467380594046389,-0.01797826248283174,0.029399744722691246,0.0539086572829417,0.1077093160024356,0.12270978586581549
2023,0.051967097209870694,-0.23282361540803986,0.04281174260374332,-0.05767027658369894,0.1452479184861355,0.3212985697485182,0.009307386276113938,0.1322798538200276,-0.02551940174577716,0.2452970983191749,-0.031170439089045487,0.24236477613419627,0.8453228067058394
2024,0.14837549252515458,0.08867423138880781,0.06259498117662243,-0.08574071231821634,,,,,,,,,0.21392686957866225
